Metric,Value
Accuracy,0.9952764170748776
Precision,0.9915742793791574
Recall,0.9964349376114082
F1 Score,0.9939986663703045
Kappa Coefficient,0.9901042867574208
AUC-ROC Score,0.9999184974576341
